Data as of,Start Date,End Date,State,Indicator,Non-Hispanic White,Non-Hispanic Black or African American,Non-Hispanic American Indian or Alaska Native,Non-Hispanic Asian,Non-Hispanic Native Hawaiian or Other Pacific Islander,Hispanic or Latino,Other,Footnote
02/24/2021,01/01/2020,02/20/2021,South Dakota,Distribution of COVID-19 deaths (%),85.4,,11.7,1,,1.3,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
02/24/2021,01/01/2020,02/20/2021,South Dakota,Unweighted distribution of population (%),82.8,2.2,7,1.5,0.1,4.2,2.2,
02/24/2021,01/01/2020,02/20/2021,South Dakota,Weighted distribution of population (%),82.3,5,3.4,1.9,0.1,5,2.4,
02/24/2021,01/01/2020,02/20/2021,Tennessee,Count of COVID-19 deaths,"8,447","1,859",,72,,303,21,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
02/24/2021,01/01/2020,02/20/2021,Tennessee,Distribution of COVID-19 deaths (%),78.8,17.3,,0.7,,2.8,0.2,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
02/24/2021,01/01/2020,02/20/2021,Tennessee,Unweighted distribution of population (%),73.5,16.7,0.3,1.9,0.1,5.7,1.8,
02/24/2021,01/01/2020,02/20/2021,Tennessee,Weighted distribution of population (%),56.4,31.4,0.2,2.9,0,7.3,1.8,
02/24/2021,01/01/2020,02/20/2021,Texas,Count of COVID-19 deaths,"18,079","4,218",78,864,26,"19,712",70,
02/24/2021,01/01/2020,02/20/2021,Texas,Distribution of COVID-19 deaths (%),42,9.8,0.2,2,0.1,45.8,0.2,
02/24/2021,01/01/2020,02/20/2021,Texas,Unweighted distribution of population (%),41.2,12.1,0.3,5,0.1,39.7,1.5,
02/24/2021,01/01/2020,02/20/2021,Texas,Weighted distribution of population (%),31.4,15.3,0.2,5.9,0.1,45.7,1.5,
02/24/2021,01/01/2020,02/20/2021,Utah,Count of COVID-19 deaths,"1,501",16,85,61,63,318,13,
02/24/2021,01/01/2020,02/20/2021,Utah,Distribution of COVID-19 deaths (%),73,0.8,4.1,3,3.1,15.5,0.6,
02/24/2021,01/01/2020,02/20/2021,Utah,Unweighted distribution of population (%),77.8,1.2,0.9,2.5,1,14.4,2.1,
02/24/2021,01/01/2020,02/20/2021,Utah,Weighted distribution of population (%),73.1,1.6,0.6,3.7,1.4,17.3,2.3,
02/24/2021,01/01/2020,02/20/2021,Vermont,Count of COVID-19 deaths,167,,,,0,0,0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
02/24/2021,01/01/2020,02/20/2021,Vermont,Distribution of COVID-19 deaths (%),97.1,,,,0,0,0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
02/24/2021,01/01/2020,02/20/2021,Vermont,Unweighted distribution of population (%),92.6,1.3,0.3,1.9,0,2,1.8,
02/24/2021,01/01/2020,02/20/2021,Vermont,Weighted distribution of population (%),89.3,2.1,0.2,3.8,0,2.3,2.1,
02/24/2021,01/01/2020,02/20/2021,Virginia,Count of COVID-19 deaths,"5,507","2,022",,332,0,599,47,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
02/24/2021,01/01/2020,02/20/2021,Virginia,Distribution of COVID-19 deaths (%),64.7,23.7,,3.9,0,7,0.6,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
02/24/2021,01/01/2020,02/20/2021,Virginia,Unweighted distribution of population (%),61.2,19.1,0.3,6.8,0.1,9.8,2.7,
02/24/2021,01/01/2020,02/20/2021,Virginia,Weighted distribution of population (%),52.9,17.7,0.2,12.8,0.1,13.2,3.1,
02/24/2021,01/01/2020,02/20/2021,Washington,Count of COVID-19 deaths,"3,187",144,118,333,74,555,46,
02/24/2021,01/01/2020,02/20/2021,Washington,Distribution of COVID-19 deaths (%),71.5,3.2,2.6,7.5,1.7,12.5,1,
02/24/2021,01/01/2020,02/20/2021,Washington,Unweighted distribution of population (%),67.5,4,1.3,9.3,0.7,13,4.1,
02/24/2021,01/01/2020,02/20/2021,Washington,Weighted distribution of population (%),62,5.7,0.8,15.2,0.8,11,4.5,
02/24/2021,01/01/2020,02/20/2021,West Virginia,Count of COVID-19 deaths,"2,094",64,,,,,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
02/24/2021,01/01/2020,02/20/2021,West Virginia,Distribution of COVID-19 deaths (%),96.4,2.9,,,,,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
02/24/2021,01/01/2020,02/20/2021,West Virginia,Unweighted distribution of population (%),92,3.5,0.2,0.8,0,1.7,1.7,
02/24/2021,01/01/2020,02/20/2021,West Virginia,Weighted distribution of population (%),89.5,5.2,0.2,1.3,0,1.7,2.2,
02/24/2021,01/01/2020,02/20/2021,Wisconsin,Count of COVID-19 deaths,"6,299",461,89,125,,368,11,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
02/24/2021,01/01/2020,02/20/2021,Wisconsin,Distribution of COVID-19 deaths (%),85.6,6.3,1.2,1.7,,5,0.1,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
02/24/2021,01/01/2020,02/20/2021,Wisconsin,Unweighted distribution of population (%),80.9,6.4,0.9,3,0,7.1,1.7,
02/24/2021,01/01/2020,02/20/2021,Wisconsin,Weighted distribution of population (%),66.4,15.4,0.6,4.2,0,11.3,2.1,
02/24/2021,01/01/2020,02/20/2021,Wyoming,Count of COVID-19 deaths,470,,44,,0,52,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
02/24/2021,01/01/2020,02/20/2021,Wyoming,Distribution of COVID-19 deaths (%),81.7,,7.7,,0,9,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
02/24/2021,01/01/2020,02/20/2021,Wyoming,Unweighted distribution of population (%),83.7,1.1,2.1,1.1,0.1,10.1,1.8,
02/24/2021,01/01/2020,02/20/2021,Wyoming,Weighted distribution of population (%),82.7,1.4,1.9,1,0.1,10.9,2,
