Data as of,Start Week,End Week,State,Condition Group,Condition,ICD10_codes,Age Group,COVID-19 Deaths,Number of Mentions,Flag
01/31/2021,01/04/2020,01/30/2021,AK,Circulatory diseases,Ischemic heart disease,I20-I25,55-64,,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
01/31/2021,01/04/2020,01/30/2021,AK,Circulatory diseases,Ischemic heart disease,I20-I25,65-74,,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
01/31/2021,01/04/2020,01/30/2021,AK,Circulatory diseases,Ischemic heart disease,I20-I25,75-84,,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
01/31/2021,01/04/2020,01/30/2021,AK,Circulatory diseases,Ischemic heart disease,I20-I25,85+,,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
01/31/2021,01/04/2020,01/30/2021,AK,Circulatory diseases,Ischemic heart disease,I20-I25,Not stated,0,0,
01/31/2021,01/04/2020,01/30/2021,AK,Circulatory diseases,Ischemic heart disease,I20-I25,All Ages,17,19,
01/31/2021,01/04/2020,01/30/2021,AK,Circulatory diseases,Cardiac arrest,I46,0-24,0,0,
01/31/2021,01/04/2020,01/30/2021,AK,Circulatory diseases,Cardiac arrest,I46,25-34,0,0,
01/31/2021,01/04/2020,01/30/2021,AK,Circulatory diseases,Cardiac arrest,I46,35-44,,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
01/31/2021,01/04/2020,01/30/2021,AK,Circulatory diseases,Cardiac arrest,I46,45-54,0,0,
01/31/2021,01/04/2020,01/30/2021,AK,Circulatory diseases,Cardiac arrest,I46,55-64,,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
01/31/2021,01/04/2020,01/30/2021,AK,Circulatory diseases,Cardiac arrest,I46,65-74,,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
01/31/2021,01/04/2020,01/30/2021,AK,Circulatory diseases,Cardiac arrest,I46,75-84,,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
01/31/2021,01/04/2020,01/30/2021,AK,Circulatory diseases,Cardiac arrest,I46,85+,,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
01/31/2021,01/04/2020,01/30/2021,AK,Circulatory diseases,Cardiac arrest,I46,Not stated,0,0,
01/31/2021,01/04/2020,01/30/2021,AK,Circulatory diseases,Cardiac arrest,I46,All Ages,19,19,
01/31/2021,01/04/2020,01/30/2021,AK,Circulatory diseases,Cardiac arrhythmia,"I44, I45, I47-I49",0-24,0,0,
01/31/2021,01/04/2020,01/30/2021,AK,Circulatory diseases,Cardiac arrhythmia,"I44, I45, I47-I49",25-34,0,0,
01/31/2021,01/04/2020,01/30/2021,AK,Circulatory diseases,Cardiac arrhythmia,"I44, I45, I47-I49",35-44,0,0,
01/31/2021,01/04/2020,01/30/2021,AK,Circulatory diseases,Cardiac arrhythmia,"I44, I45, I47-I49",45-54,,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
01/31/2021,01/04/2020,01/30/2021,AK,Circulatory diseases,Cardiac arrhythmia,"I44, I45, I47-I49",55-64,,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
01/31/2021,01/04/2020,01/30/2021,AK,Circulatory diseases,Cardiac arrhythmia,"I44, I45, I47-I49",65-74,,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
01/31/2021,01/04/2020,01/30/2021,AK,Circulatory diseases,Cardiac arrhythmia,"I44, I45, I47-I49",75-84,,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
01/31/2021,01/04/2020,01/30/2021,AK,Circulatory diseases,Cardiac arrhythmia,"I44, I45, I47-I49",85+,,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
01/31/2021,01/04/2020,01/30/2021,AK,Circulatory diseases,Cardiac arrhythmia,"I44, I45, I47-I49",Not stated,0,0,
01/31/2021,01/04/2020,01/30/2021,AK,Circulatory diseases,Cardiac arrhythmia,"I44, I45, I47-I49",All Ages,14,14,
01/31/2021,01/04/2020,01/30/2021,AK,Circulatory diseases,Heart failure,I50,0-24,0,0,
01/31/2021,01/04/2020,01/30/2021,AK,Circulatory diseases,Heart failure,I50,25-34,0,0,
01/31/2021,01/04/2020,01/30/2021,AK,Circulatory diseases,Heart failure,I50,35-44,0,0,
01/31/2021,01/04/2020,01/30/2021,AK,Circulatory diseases,Heart failure,I50,45-54,0,0,
01/31/2021,01/04/2020,01/30/2021,AK,Circulatory diseases,Heart failure,I50,55-64,,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
01/31/2021,01/04/2020,01/30/2021,AK,Circulatory diseases,Heart failure,I50,65-74,,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
01/31/2021,01/04/2020,01/30/2021,AK,Circulatory diseases,Heart failure,I50,75-84,,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
01/31/2021,01/04/2020,01/30/2021,AK,Circulatory diseases,Heart failure,I50,85+,,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
01/31/2021,01/04/2020,01/30/2021,AK,Circulatory diseases,Heart failure,I50,Not stated,0,0,
01/31/2021,01/04/2020,01/30/2021,AK,Circulatory diseases,Heart failure,I50,All Ages,18,18,
01/31/2021,01/04/2020,01/30/2021,AK,Circulatory diseases,Cerebrovascular diseases,I60-I69,0-24,,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
01/31/2021,01/04/2020,01/30/2021,AK,Circulatory diseases,Cerebrovascular diseases,I60-I69,25-34,0,0,
01/31/2021,01/04/2020,01/30/2021,AK,Circulatory diseases,Cerebrovascular diseases,I60-I69,35-44,0,0,
01/31/2021,01/04/2020,01/30/2021,AK,Circulatory diseases,Cerebrovascular diseases,I60-I69,45-54,0,0,
01/31/2021,01/04/2020,01/30/2021,AK,Circulatory diseases,Cerebrovascular diseases,I60-I69,55-64,0,0,
01/31/2021,01/04/2020,01/30/2021,AK,Circulatory diseases,Cerebrovascular diseases,I60-I69,65-74,,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
01/31/2021,01/04/2020,01/30/2021,AK,Circulatory diseases,Cerebrovascular diseases,I60-I69,75-84,,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
01/31/2021,01/04/2020,01/30/2021,AK,Circulatory diseases,Cerebrovascular diseases,I60-I69,85+,,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
01/31/2021,01/04/2020,01/30/2021,AK,Circulatory diseases,Cerebrovascular diseases,I60-I69,Not stated,0,0,
01/31/2021,01/04/2020,01/30/2021,AK,Circulatory diseases,Cerebrovascular diseases,I60-I69,All Ages,14,15,
01/31/2021,01/04/2020,01/30/2021,AK,Circulatory diseases,Other diseases of the circulatory system,"I00-I09, I26-I43, I51, I52, I70-I99",0-24,,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
01/31/2021,01/04/2020,01/30/2021,AK,Circulatory diseases,Other diseases of the circulatory system,"I00-I09, I26-I43, I51, I52, I70-I99",25-34,0,0,
01/31/2021,01/04/2020,01/30/2021,AK,Circulatory diseases,Other diseases of the circulatory system,"I00-I09, I26-I43, I51, I52, I70-I99",35-44,,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
01/31/2021,01/04/2020,01/30/2021,AK,Circulatory diseases,Other diseases of the circulatory system,"I00-I09, I26-I43, I51, I52, I70-I99",45-54,,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
01/31/2021,01/04/2020,01/30/2021,AK,Circulatory diseases,Other diseases of the circulatory system,"I00-I09, I26-I43, I51, I52, I70-I99",55-64,0,0,
01/31/2021,01/04/2020,01/30/2021,AK,Circulatory diseases,Other diseases of the circulatory system,"I00-I09, I26-I43, I51, I52, I70-I99",65-74,,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
01/31/2021,01/04/2020,01/30/2021,AK,Circulatory diseases,Other diseases of the circulatory system,"I00-I09, I26-I43, I51, I52, I70-I99",75-84,0,0,
01/31/2021,01/04/2020,01/30/2021,AK,Circulatory diseases,Other diseases of the circulatory system,"I00-I09, I26-I43, I51, I52, I70-I99",85+,,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
01/31/2021,01/04/2020,01/30/2021,AK,Circulatory diseases,Other diseases of the circulatory system,"I00-I09, I26-I43, I51, I52, I70-I99",Not stated,0,0,
01/31/2021,01/04/2020,01/30/2021,AK,Circulatory diseases,Other diseases of the circulatory system,"I00-I09, I26-I43, I51, I52, I70-I99",All Ages,11,12,
01/31/2021,01/04/2020,01/30/2021,AK,Sepsis,Sepsis,A40-A41,0-24,0,0,
01/31/2021,01/04/2020,01/30/2021,AK,Sepsis,Sepsis,A40-A41,25-34,0,0,
01/31/2021,01/04/2020,01/30/2021,AK,Sepsis,Sepsis,A40-A41,35-44,,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
01/31/2021,01/04/2020,01/30/2021,AK,Sepsis,Sepsis,A40-A41,45-54,,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
01/31/2021,01/04/2020,01/30/2021,AK,Sepsis,Sepsis,A40-A41,55-64,,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
01/31/2021,01/04/2020,01/30/2021,AK,Sepsis,Sepsis,A40-A41,65-74,,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
01/31/2021,01/04/2020,01/30/2021,AK,Sepsis,Sepsis,A40-A41,75-84,,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
01/31/2021,01/04/2020,01/30/2021,AK,Sepsis,Sepsis,A40-A41,85+,,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
01/31/2021,01/04/2020,01/30/2021,AK,Sepsis,Sepsis,A40-A41,Not stated,0,0,
01/31/2021,01/04/2020,01/30/2021,AK,Sepsis,Sepsis,A40-A41,All Ages,15,15,
01/31/2021,01/04/2020,01/30/2021,AK,Malignant neoplasms,Malignant neoplasms,C00-C97,0-24,0,0,
01/31/2021,01/04/2020,01/30/2021,AK,Malignant neoplasms,Malignant neoplasms,C00-C97,25-34,0,0,
01/31/2021,01/04/2020,01/30/2021,AK,Malignant neoplasms,Malignant neoplasms,C00-C97,35-44,,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
01/31/2021,01/04/2020,01/30/2021,AK,Malignant neoplasms,Malignant neoplasms,C00-C97,45-54,0,0,
01/31/2021,01/04/2020,01/30/2021,AK,Malignant neoplasms,Malignant neoplasms,C00-C97,55-64,,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
01/31/2021,01/04/2020,01/30/2021,AK,Malignant neoplasms,Malignant neoplasms,C00-C97,65-74,10,11,
01/31/2021,01/04/2020,01/30/2021,AK,Malignant neoplasms,Malignant neoplasms,C00-C97,75-84,,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
01/31/2021,01/04/2020,01/30/2021,AK,Malignant neoplasms,Malignant neoplasms,C00-C97,85+,,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
01/31/2021,01/04/2020,01/30/2021,AK,Malignant neoplasms,Malignant neoplasms,C00-C97,Not stated,0,0,
01/31/2021,01/04/2020,01/30/2021,AK,Malignant neoplasms,Malignant neoplasms,C00-C97,All Ages,26,27,
01/31/2021,01/04/2020,01/30/2021,AK,Diabetes,Diabetes,E10-E14,0-24,0,0,
01/31/2021,01/04/2020,01/30/2021,AK,Diabetes,Diabetes,E10-E14,25-34,0,0,
01/31/2021,01/04/2020,01/30/2021,AK,Diabetes,Diabetes,E10-E14,35-44,0,0,
01/31/2021,01/04/2020,01/30/2021,AK,Diabetes,Diabetes,E10-E14,45-54,,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
01/31/2021,01/04/2020,01/30/2021,AK,Diabetes,Diabetes,E10-E14,55-64,,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
01/31/2021,01/04/2020,01/30/2021,AK,Diabetes,Diabetes,E10-E14,65-74,,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
01/31/2021,01/04/2020,01/30/2021,AK,Diabetes,Diabetes,E10-E14,75-84,,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
01/31/2021,01/04/2020,01/30/2021,AK,Diabetes,Diabetes,E10-E14,85+,,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
01/31/2021,01/04/2020,01/30/2021,AK,Diabetes,Diabetes,E10-E14,Not stated,0,0,
01/31/2021,01/04/2020,01/30/2021,AK,Diabetes,Diabetes,E10-E14,All Ages,22,22,
01/31/2021,01/04/2020,01/30/2021,AK,Obesity,Obesity,E65-E68,0-24,0,0,
01/31/2021,01/04/2020,01/30/2021,AK,Obesity,Obesity,E65-E68,25-34,,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
01/31/2021,01/04/2020,01/30/2021,AK,Obesity,Obesity,E65-E68,35-44,0,0,
01/31/2021,01/04/2020,01/30/2021,AK,Obesity,Obesity,E65-E68,45-54,,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
01/31/2021,01/04/2020,01/30/2021,AK,Obesity,Obesity,E65-E68,55-64,,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
01/31/2021,01/04/2020,01/30/2021,AK,Obesity,Obesity,E65-E68,65-74,,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
01/31/2021,01/04/2020,01/30/2021,AK,Obesity,Obesity,E65-E68,75-84,,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
01/31/2021,01/04/2020,01/30/2021,AK,Obesity,Obesity,E65-E68,85+,,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
01/31/2021,01/04/2020,01/30/2021,AK,Obesity,Obesity,E65-E68,Not stated,0,0,
01/31/2021,01/04/2020,01/30/2021,AK,Obesity,Obesity,E65-E68,All Ages,,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
01/31/2021,01/04/2020,01/30/2021,AK,Alzheimer disease,Alzheimer disease,G30,0-24,0,0,
01/31/2021,01/04/2020,01/30/2021,AK,Alzheimer disease,Alzheimer disease,G30,25-34,0,0,
01/31/2021,01/04/2020,01/30/2021,AK,Alzheimer disease,Alzheimer disease,G30,35-44,0,0,
01/31/2021,01/04/2020,01/30/2021,AK,Alzheimer disease,Alzheimer disease,G30,45-54,0,0,
01/31/2021,01/04/2020,01/30/2021,AK,Alzheimer disease,Alzheimer disease,G30,55-64,,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
01/31/2021,01/04/2020,01/30/2021,AK,Alzheimer disease,Alzheimer disease,G30,65-74,0,0,
01/31/2021,01/04/2020,01/30/2021,AK,Alzheimer disease,Alzheimer disease,G30,75-84,,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
01/31/2021,01/04/2020,01/30/2021,AK,Alzheimer disease,Alzheimer disease,G30,85+,,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
01/31/2021,01/04/2020,01/30/2021,AK,Alzheimer disease,Alzheimer disease,G30,Not stated,0,0,
01/31/2021,01/04/2020,01/30/2021,AK,Alzheimer disease,Alzheimer disease,G30,All Ages,,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
01/31/2021,01/04/2020,01/30/2021,AK,Vascular and unspecified dementia,Vascular and unspecified dementia,"F01, F03",0-24,0,0,
01/31/2021,01/04/2020,01/30/2021,AK,Vascular and unspecified dementia,Vascular and unspecified dementia,"F01, F03",25-34,0,0,
01/31/2021,01/04/2020,01/30/2021,AK,Vascular and unspecified dementia,Vascular and unspecified dementia,"F01, F03",35-44,0,0,
01/31/2021,01/04/2020,01/30/2021,AK,Vascular and unspecified dementia,Vascular and unspecified dementia,"F01, F03",45-54,0,0,
01/31/2021,01/04/2020,01/30/2021,AK,Vascular and unspecified dementia,Vascular and unspecified dementia,"F01, F03",55-64,0,0,
01/31/2021,01/04/2020,01/30/2021,AK,Vascular and unspecified dementia,Vascular and unspecified dementia,"F01, F03",65-74,,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
01/31/2021,01/04/2020,01/30/2021,AK,Vascular and unspecified dementia,Vascular and unspecified dementia,"F01, F03",75-84,,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
01/31/2021,01/04/2020,01/30/2021,AK,Vascular and unspecified dementia,Vascular and unspecified dementia,"F01, F03",85+,,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
01/31/2021,01/04/2020,01/30/2021,AK,Vascular and unspecified dementia,Vascular and unspecified dementia,"F01, F03",Not stated,0,0,
01/31/2021,01/04/2020,01/30/2021,AK,Vascular and unspecified dementia,Vascular and unspecified dementia,"F01, F03",All Ages,16,16,
01/31/2021,01/04/2020,01/30/2021,AK,Renal failure,Renal failure,N17-N19,0-24,0,0,
01/31/2021,01/04/2020,01/30/2021,AK,Renal failure,Renal failure,N17-N19,25-34,0,0,
01/31/2021,01/04/2020,01/30/2021,AK,Renal failure,Renal failure,N17-N19,35-44,0,0,
01/31/2021,01/04/2020,01/30/2021,AK,Renal failure,Renal failure,N17-N19,45-54,,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
01/31/2021,01/04/2020,01/30/2021,AK,Renal failure,Renal failure,N17-N19,55-64,,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
01/31/2021,01/04/2020,01/30/2021,AK,Renal failure,Renal failure,N17-N19,65-74,,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
01/31/2021,01/04/2020,01/30/2021,AK,Renal failure,Renal failure,N17-N19,75-84,,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
01/31/2021,01/04/2020,01/30/2021,AK,Renal failure,Renal failure,N17-N19,85+,,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
01/31/2021,01/04/2020,01/30/2021,AK,Renal failure,Renal failure,N17-N19,Not stated,0,0,
01/31/2021,01/04/2020,01/30/2021,AK,Renal failure,Renal failure,N17-N19,All Ages,16,16,
01/31/2021,01/04/2020,01/30/2021,AK,"Intentional and unintentional injury, poisoning, and other adverse events","Intentional and unintentional injury, poisoning, and other adverse events","S00-T98, V01-X59, X60-X84, X85-Y09, Y10-Y36, Y40-Y89, U01-U03",0-24,0,0,
01/31/2021,01/04/2020,01/30/2021,AK,"Intentional and unintentional injury, poisoning, and other adverse events","Intentional and unintentional injury, poisoning, and other adverse events","S00-T98, V01-X59, X60-X84, X85-Y09, Y10-Y36, Y40-Y89, U01-U03",25-34,0,0,
01/31/2021,01/04/2020,01/30/2021,AK,"Intentional and unintentional injury, poisoning, and other adverse events","Intentional and unintentional injury, poisoning, and other adverse events","S00-T98, V01-X59, X60-X84, X85-Y09, Y10-Y36, Y40-Y89, U01-U03",35-44,,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
01/31/2021,01/04/2020,01/30/2021,AK,"Intentional and unintentional injury, poisoning, and other adverse events","Intentional and unintentional injury, poisoning, and other adverse events","S00-T98, V01-X59, X60-X84, X85-Y09, Y10-Y36, Y40-Y89, U01-U03",45-54,0,0,
01/31/2021,01/04/2020,01/30/2021,AK,"Intentional and unintentional injury, poisoning, and other adverse events","Intentional and unintentional injury, poisoning, and other adverse events","S00-T98, V01-X59, X60-X84, X85-Y09, Y10-Y36, Y40-Y89, U01-U03",55-64,,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
01/31/2021,01/04/2020,01/30/2021,AK,"Intentional and unintentional injury, poisoning, and other adverse events","Intentional and unintentional injury, poisoning, and other adverse events","S00-T98, V01-X59, X60-X84, X85-Y09, Y10-Y36, Y40-Y89, U01-U03",65-74,,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
01/31/2021,01/04/2020,01/30/2021,AK,"Intentional and unintentional injury, poisoning, and other adverse events","Intentional and unintentional injury, poisoning, and other adverse events","S00-T98, V01-X59, X60-X84, X85-Y09, Y10-Y36, Y40-Y89, U01-U03",75-84,,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
01/31/2021,01/04/2020,01/30/2021,AK,"Intentional and unintentional injury, poisoning, and other adverse events","Intentional and unintentional injury, poisoning, and other adverse events","S00-T98, V01-X59, X60-X84, X85-Y09, Y10-Y36, Y40-Y89, U01-U03",85+,0,0,
01/31/2021,01/04/2020,01/30/2021,AK,"Intentional and unintentional injury, poisoning, and other adverse events","Intentional and unintentional injury, poisoning, and other adverse events","S00-T98, V01-X59, X60-X84, X85-Y09, Y10-Y36, Y40-Y89, U01-U03",Not stated,0,0,
01/31/2021,01/04/2020,01/30/2021,AK,"Intentional and unintentional injury, poisoning, and other adverse events","Intentional and unintentional injury, poisoning, and other adverse events","S00-T98, V01-X59, X60-X84, X85-Y09, Y10-Y36, Y40-Y89, U01-U03",All Ages,,16,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
01/31/2021,01/04/2020,01/30/2021,AK,All other conditions and causes (residual),All other conditions and causes (residual),"A00-A39, A42-B99, D00-E07, E15-E64, E70-E90, F00, F02, F04-G26, G31-H95, K00-K93, L00-M99, N00-N16, N20-N98, O00-O99, P00-P96, Q00-Q99, R00-R08, R09.0, R09.1, R09.3, R09.8, R10-R99",0-24,,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
01/31/2021,01/04/2020,01/30/2021,AK,All other conditions and causes (residual),All other conditions and causes (residual),"A00-A39, A42-B99, D00-E07, E15-E64, E70-E90, F00, F02, F04-G26, G31-H95, K00-K93, L00-M99, N00-N16, N20-N98, O00-O99, P00-P96, Q00-Q99, R00-R08, R09.0, R09.1, R09.3, R09.8, R10-R99",25-34,,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
01/31/2021,01/04/2020,01/30/2021,AK,All other conditions and causes (residual),All other conditions and causes (residual),"A00-A39, A42-B99, D00-E07, E15-E64, E70-E90, F00, F02, F04-G26, G31-H95, K00-K93, L00-M99, N00-N16, N20-N98, O00-O99, P00-P96, Q00-Q99, R00-R08, R09.0, R09.1, R09.3, R09.8, R10-R99",35-44,,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
01/31/2021,01/04/2020,01/30/2021,AK,All other conditions and causes (residual),All other conditions and causes (residual),"A00-A39, A42-B99, D00-E07, E15-E64, E70-E90, F00, F02, F04-G26, G31-H95, K00-K93, L00-M99, N00-N16, N20-N98, O00-O99, P00-P96, Q00-Q99, R00-R08, R09.0, R09.1, R09.3, R09.8, R10-R99",45-54,,14,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
01/31/2021,01/04/2020,01/30/2021,AK,All other conditions and causes (residual),All other conditions and causes (residual),"A00-A39, A42-B99, D00-E07, E15-E64, E70-E90, F00, F02, F04-G26, G31-H95, K00-K93, L00-M99, N00-N16, N20-N98, O00-O99, P00-P96, Q00-Q99, R00-R08, R09.0, R09.1, R09.3, R09.8, R10-R99",55-64,13,25,
01/31/2021,01/04/2020,01/30/2021,AK,All other conditions and causes (residual),All other conditions and causes (residual),"A00-A39, A42-B99, D00-E07, E15-E64, E70-E90, F00, F02, F04-G26, G31-H95, K00-K93, L00-M99, N00-N16, N20-N98, O00-O99, P00-P96, Q00-Q99, R00-R08, R09.0, R09.1, R09.3, R09.8, R10-R99",65-74,32,50,
01/31/2021,01/04/2020,01/30/2021,AK,All other conditions and causes (residual),All other conditions and causes (residual),"A00-A39, A42-B99, D00-E07, E15-E64, E70-E90, F00, F02, F04-G26, G31-H95, K00-K93, L00-M99, N00-N16, N20-N98, O00-O99, P00-P96, Q00-Q99, R00-R08, R09.0, R09.1, R09.3, R09.8, R10-R99",75-84,17,26,
01/31/2021,01/04/2020,01/30/2021,AK,All other conditions and causes (residual),All other conditions and causes (residual),"A00-A39, A42-B99, D00-E07, E15-E64, E70-E90, F00, F02, F04-G26, G31-H95, K00-K93, L00-M99, N00-N16, N20-N98, O00-O99, P00-P96, Q00-Q99, R00-R08, R09.0, R09.1, R09.3, R09.8, R10-R99",85+,21,30,
01/31/2021,01/04/2020,01/30/2021,AK,All other conditions and causes (residual),All other conditions and causes (residual),"A00-A39, A42-B99, D00-E07, E15-E64, E70-E90, F00, F02, F04-G26, G31-H95, K00-K93, L00-M99, N00-N16, N20-N98, O00-O99, P00-P96, Q00-Q99, R00-R08, R09.0, R09.1, R09.3, R09.8, R10-R99",Not stated,0,0,
01/31/2021,01/04/2020,01/30/2021,AK,All other conditions and causes (residual),All other conditions and causes (residual),"A00-A39, A42-B99, D00-E07, E15-E64, E70-E90, F00, F02, F04-G26, G31-H95, K00-K93, L00-M99, N00-N16, N20-N98, O00-O99, P00-P96, Q00-Q99, R00-R08, R09.0, R09.1, R09.3, R09.8, R10-R99",All Ages,97,156,
01/31/2021,01/04/2020,01/30/2021,AK,COVID-19,COVID-19,U071,0-24,,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
01/31/2021,01/04/2020,01/30/2021,AK,COVID-19,COVID-19,U071,25-34,,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
01/31/2021,01/04/2020,01/30/2021,AK,COVID-19,COVID-19,U071,35-44,,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
01/31/2021,01/04/2020,01/30/2021,AK,COVID-19,COVID-19,U071,45-54,10,10,
01/31/2021,01/04/2020,01/30/2021,AK,COVID-19,COVID-19,U071,55-64,30,30,
01/31/2021,01/04/2020,01/30/2021,AK,COVID-19,COVID-19,U071,65-74,56,56,
01/31/2021,01/04/2020,01/30/2021,AK,COVID-19,COVID-19,U071,75-84,63,63,
01/31/2021,01/04/2020,01/30/2021,AK,COVID-19,COVID-19,U071,85+,54,54,
01/31/2021,01/04/2020,01/30/2021,AK,COVID-19,COVID-19,U071,Not stated,0,0,
01/31/2021,01/04/2020,01/30/2021,AK,COVID-19,COVID-19,U071,All Ages,225,225,
01/31/2021,01/04/2020,01/30/2021,AZ,Respiratory diseases,Influenza and pneumonia,J09-J18,0-24,20,20,
01/31/2021,01/04/2020,01/30/2021,AZ,Respiratory diseases,Influenza and pneumonia,J09-J18,25-34,69,70,
01/31/2021,01/04/2020,01/30/2021,AZ,Respiratory diseases,Influenza and pneumonia,J09-J18,35-44,140,145,
01/31/2021,01/04/2020,01/30/2021,AZ,Respiratory diseases,Influenza and pneumonia,J09-J18,45-54,387,398,
01/31/2021,01/04/2020,01/30/2021,AZ,Respiratory diseases,Influenza and pneumonia,J09-J18,55-64,840,861,
